pattern,alg
011001001010,"['l', 'u', ""l'"", 'u', ""l'"", 'b', 'l', ""b'"", 'l', 'u2', ""l'""]"
001001010011,"['b', 'u', ""b'"", 'u', ""b'"", 'r', 'b', ""r'"", 'b', 'u2', ""b'""]"
100001010010,"['r', 'u2', ""r2'"", 'f', 'r', ""f'"", 'r', 'u2', ""r'""]"
001010010100,"['f', 'u2', ""f2'"", 'l', 'f', ""l'"", 'f', 'u2', ""f'""]"
010010100001,"['l', 'u2', ""l2'"", 'b', 'l', ""b'"", 'l', 'u2', ""l'""]"
010100001010,"['b', 'u2', ""b2'"", 'r', 'b', ""r'"", 'b', 'u2', ""b'""]"
110011000000,"['f', 'r', ""u'"", ""r'"", ""u'"", 'r', 'u', ""r'"", ""f'""]"
011000000110,"['l', 'f', ""u'"", ""f'"", ""u'"", 'f', 'u', ""f'"", ""l'""]"
000000110011,"['b', 'l', ""u'"", ""l'"", ""u'"", 'l', 'u', ""l'"", ""b'""]"
000110011000,"['r', 'b', ""u'"", ""b'"", ""u'"", 'b', 'u', ""b'"", ""r'""]"
011001011000,"['f', 'u', 'r', ""u'"", 'r2', ""f'"", 'r', 'u', 'r', ""u'"", ""r'""]"
001011000011,"['l', 'u', 'f', ""u'"", 'f2', ""l'"", 'f', 'u', 'f', ""u'"", ""f'""]"
011000011001,"['b', 'u', 'l', ""u'"", 'l2', ""b'"", 'l', 'u', 'l', ""u'"", ""l'""]"
000011001011,"['r', 'u', 'b', ""u'"", 'b2', ""r'"", 'b', 'u', 'b', ""u'"", ""b'""]"
110000110100,"[""r'"", 'f', 'r', 'u', ""r'"", ""f'"", 'r', 'f', ""u'"", ""f'""]"
000110100110,"[""f'"", 'l', 'f', 'u', ""f'"", ""l'"", 'f', 'l', ""u'"", ""l'""]"
110100110000,"[""l'"", 'b', 'l', 'u', ""l'"", ""b'"", 'l', 'b', ""u'"", ""b'""]"
100110000110,"[""b'"", 'r', 'b', 'u', ""b'"", ""r'"", 'b', 'r', ""u'"", ""r'""]"
011001010001,"[""r'"", ""f'"", 'r', ""l'"", ""u'"", 'l', 'u', ""r'"", 'f', 'r']"
001010001011,"[""f'"", ""l'"", 'f', ""b'"", ""u'"", 'b', 'u', ""f'"", 'l', 'f']"
010001011001,"[""l'"", ""b'"", 'l', ""r'"", ""u'"", 'r', 'u', ""l'"", 'b', 'l']"
001011001010,"[""b'"", ""r'"", 'b', ""f'"", ""u'"", 'f', 'u', ""b'"", 'r', 'b']"
110100010100,"['l', 'f', ""l'"", 'r', 'u', ""r'"", ""u'"", 'l', ""f'"", ""l'""]"
100010100110,"['b', 'l', ""b'"", 'f', 'u', ""f'"", ""u'"", 'b', ""l'"", ""b'""]"
010100110100,"['r', 'b', ""r'"", 'l', 'u', ""l'"", ""u'"", 'r', ""b'"", ""r'""]"
100110100010,"['f', 'r', ""f'"", 'b', 'u', ""b'"", ""u'"", 'f', ""r'"", ""f'""]"
000110010001,"['r', ""l'"", 'b', 'r', 'b', ""r'"", ""b'"", ""r'"", 'u', 'r', ""u'"", ""r'"", 'l']"
110010001000,"['f', ""b'"", 'r', 'f', 'r', ""f'"", ""r'"", ""f'"", 'u', 'f', ""u'"", ""f'"", 'b']"
010001000110,"['l', ""r'"", 'f', 'l', 'f', ""l'"", ""f'"", ""l'"", 'u', 'l', ""u'"", ""l'"", 'r']"
001000110010,"['b', ""f'"", 'l', 'b', 'l', ""b'"", ""l'"", ""b'"", 'u', 'b', ""u'"", ""b'"", 'f']"
000100010011,"[""l'"", 'b2', 'r', 'b', ""r'"", 'b', 'l', 'r', 'u2', ""r'"", ""u'"", 'r', ""u'"", ""r'""]"
100010011000,"[""b'"", 'r2', 'f', 'r', ""f'"", 'r', 'b', 'f', 'u2', ""f'"", ""u'"", 'f', ""u'"", ""f'""]"
010011000100,"[""r'"", 'f2', 'l', 'f', ""l'"", 'f', 'r', 'l', 'u2', ""l'"", ""u'"", 'l', ""u'"", ""l'""]"
011000100010,"[""f'"", 'l2', 'b', 'l', ""b'"", 'l', 'f', 'b', 'u2', ""b'"", ""u'"", 'b', ""u'"", ""b'""]"
101000010010,"['r', 'l2', ""d'"", ""b'"", 'd', 'b', 'l', ""b'"", ""r'"", 'l']"
000010010101,"['f', 'b2', ""d'"", ""r'"", 'd', 'r', 'b', ""r'"", ""f'"", 'b']"
010010101000,"['l', 'r2', ""d'"", ""f'"", 'd', 'f', 'r', ""f'"", ""l'"", 'r']"
010101000010,"['b', 'f2', ""d'"", ""l'"", 'd', 'l', 'f', ""l'"", ""b'"", 'f']"
101010010000,"[""l'"", 'r2', 'd', 'b', ""d'"", ""b'"", ""r'"", 'b', ""r'"", 'l']"
010010000101,"[""b'"", 'f2', 'd', 'r', ""d'"", ""r'"", ""f'"", 'r', ""f'"", 'b']"
010000101010,"[""r'"", 'l2', 'd', 'f', ""d'"", ""f'"", ""l'"", 'f', ""l'"", 'r']"
000101010010,"[""f'"", 'b2', 'd', 'l', ""d'"", ""l'"", ""b'"", 'l', ""b'"", 'f']"
010010000000,"['l', 'f', ""r'"", ""f'"", ""l'"", 'r', 'u', 'r', ""u'"", ""r'""]"
010000000010,"['b', 'l', ""f'"", ""l'"", ""b'"", 'f', 'u', 'f', ""u'"", ""f'""]"
000000010010,"['r', 'b', ""l'"", ""b'"", ""r'"", 'l', 'u', 'l', ""u'"", ""l'""]"
000010010000,"['f', 'r', ""b'"", ""r'"", ""f'"", 'b', 'u', 'b', ""u'"", ""b'""]"
010000010000,"['r', 'u', ""r'"", ""u'"", ""r'"", 'l', 'f', 'r', ""f'"", ""l'""]"
000010000010,"['f', 'u', ""f'"", ""u'"", ""f'"", 'b', 'l', 'f', ""l'"", ""b'""]"
010000010000,"['l', 'u', ""l'"", ""u'"", ""l'"", 'r', 'b', 'l', ""b'"", ""r'""]"
000010000010,"['b', 'u', ""b'"", ""u'"", ""b'"", 'f', 'r', 'b', ""r'"", ""f'""]"
010010010010,"['r', ""l'"", 'b', 'r', 'b', ""r'"", ""b'"", 'r2', 'l2', 'f', 'r', ""f'"", ""l'""]"
010010010010,"['f', ""b'"", 'r', 'f', 'r', ""f'"", ""r'"", 'f2', 'b2', 'l', 'f', ""l'"", ""b'""]"
010010010010,"['l', ""r'"", 'f', 'l', 'f', ""l'"", ""f'"", 'l2', 'r2', 'b', 'l', ""b'"", ""r'""]"
010010010010,"['b', ""f'"", 'l', 'b', 'l', ""b'"", ""l'"", 'b2', 'f2', 'r', 'b', ""r'"", ""f'""]"
